Amount Stolen (crypto),City,Closed,Company Name,Country,Details,F14,F15,F3,Link,Month,Type of Crypto Affected,Year,Amount Stolen (USD),Amount Today (19/11/2021)
"3000000 (EOS)
20000000(XRP)",Seoul,No,Bithumb,South Korea,,,,01-Mar-19,https://www.zdnet.com/article/bithumb-cryptocurrency-exchange-hacked-a-third-time-in-two-years/,March,"EOS (EOS)
Ripple (XRP)",2019,19400000,31132160
"1308.09 (ETH)
418,311,571 (AMP)",Warsaw,No,Cream Finance,Poland,Flash Loan,,,01-Aug-21,https://cointelegraph.com/news/cream-finance-defi-platform-loses-19m-in-a-flash-loan-hack,August,"Ethereum (ETH)
Amp (AMP)",2021,18800000,26091657.4
"388,000",New York,No,Bitcoin Gold,United States,It was a cryptocurrency not a exchange that was hacked,,,01-May-18,https://www.zdnet.com/article/bitcoin-gold-delisted-from-major-cryptocurrency-exchange-after-refusing-to-pay-hack-damages/,May,Bitcoin Gold (BTG),2018,18000000,21126600
,Christchurch,Yes,Cryptopia,New Zealand,,,,01-Jan-19,https://cointelegraph.com/news/most-significant-hacks-of-2019-new-record-of-twelve-in-one-year,January,,2019,16002108,16002108
"11000000 USD (DEFI5) (123,971.6 DEFI5*)
5000000 USD (CC10) (80000 CC10*)",,No,Indexed Finance,/,Flash loan,,,01-Oct-21,https://cryptobriefing.com/defi-protocol-indexed-finance-suffers-16m-exploit/,October,"DEFI5
CC10",2021,16000000,133889.3
"53,571,429",,No,Eminence,South Africa,8 million was returned,,,01-Sep-20,https://decrypt.co/43203/hackers-drain-15-million-from-unreleased-yearn-finance-project,September,Eminence tokens (EMN),2020,15000000,0
"3,844",Los Angeles,No,Rari Capital,United States,,,,01-May-21,https://www.coindesk.com/markets/2021/05/08/rari-capital-reports-exploit-in-eth-pool-15m-taken/,May,Ethereum (ETH),2021,15000000,16548178.8
,,No,Furucombo,Singapore,,,,01-Feb-21,https://www.theblockcrypto.com/linked/96572/defi-building-block-service-furucombo-exploited-for-14m,February,"Ethereum (ETH)
ERC-20",2021,14000000,14000000
277,"Chiasso
Panevėžys",No,pNetwork,"Switzerland
Lithuania",,,,01-Sep-21,https://decrypt.co/81301/defi-bridging-protocol-pnetwork-suffers-12-million-hack,September,Bitcoin (BTC),2021,12500000,15792878
"513000 (DAI)
1700000 (USDT)",,No,Yearn Finance,South Africa,,,,01-Feb-21,https://cointelegraph.com/news/curve-liquidity-providers-see-3m-windfall-from-11m-yearn-finance-exploit,February,"Dai (DAI)
Tether (USDT)",2021,11000000,11000000
,,No,bEarn Fi,/,Flash Loan,,,01-May-21,https://cryptoslate.com/defi-platform-bearn-fi-promises-105-compensation-after-10-million-hack-but-is-it-the-right-thing/,May,Binance USD (BUSD),2021,10850000,10850000
"23,200,000","London
Ljubljana",No,GateHub,United Kingdom,,,,01-Jun-19,https://www.theblockcrypto.com/linked/26370/hackers-stole-as-much-as-10m-in-ripple-in-a-gatehub-hack,June,XRP (XRP),2019,10000000,22471705.6
"13000 (BTC)
300000 (LTC)",Florida,Yes,Cryptsy,United States,Coinbase paid customers due to allegedly failing to stop the laundering of stolen funds,,,01-Jul-14,https://www.theblockcrypto.com/linked/52837/coinbase-offers-nearly-1-million-settlement-to-cryptsy-victims-following-class-action-lawsuit,July,"Bitcoin (BTC)
Litecoin (LTC)",2014,9580000,800126000
"373,000,000",Tallinn,No,Bondly Finance,Estonia,Potential Rug pull,,,01-Jul-21,https://halborn.com/explained-the-bondly-finance-hack-july-2021/,July,Bondly (BONDLY),2021,9276510,70546982
"2995824.7 (USDC)
3000022.8 (USDT)
2954191.5 (DAI)",,No,Punk Protocol,/,A white Hat hacker recovered 6 million and returned 5 million after agreeing 1 million as a fee,https://rekt.news/punkprotocol-rekt/,,01-Aug-21,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,August,"USD COin (USDC)
Thether (USDT)
Dai (DAI)",2021,8900000,8900000
3765.1,Zug,No,THORChain,Switzerland,It was a white hat hacker so everything was returned for a 10% bounty,,,01-Jul-21,https://cointelegraph.com/news/possible-white-hat-hacker-exploits-thorchain-for-8m-proposes-10-bounty,July,Ethereum (ETH),2021,8000000,16210431.2
"219200 (LINK)
4503 (ETH)
1756351 (USDT)
1412048 (USDC)
667989 (DAI)",Atlanta,No,bZx,United States,The hacker was caught and all funds were returned,,,01-Sep-20,https://www.theblockcrypto.com/post/77656/defi-protocol-bzx-attacked-lost-8-million-faulty-code,September,"Chainlink (LINK)
Ethereum (ETH)
Tether (USDT)
USD coin (USDC)
Dai (DAI)",2020,8000000,28632193.8
370000,London,No,Nexus Mutual,United Kingdom,,,,01-Dec-20,https://halborn.com/explained-nexus-mutual-ceo-hacked-for-8-million-in-cryptocurrency-dec-2020/,December,Nexus Mutual Token (wNVM),2020,8000000,52850800
"3850000 (DAI)
3920000 (USDC)",,No,Warp Finance,/,"Flash Loan
5.8 million was recovered",https://decrypt.co/52125/warp-finance-recovers-5-8-million-days-after-hack,,01-Dec-20,https://www.theblockcrypto.com/linked/88415/defi-warp-finance-attacked-lost-7-7-million-stablecoins,December,"Dai (DAI)
USD Coin (USDC)",2020,7700000,7700000
"4,000",Zug,No,THORChain,Switzerland,,,,01-Jul-21,https://cointelegraph.com/news/thorchain-loses-7-6m-in-chaosnet-exploit-offers-hacker-a-bounty-to-return-funds,July,Ethereum (ETH),2021,7600000,17221800
,,No,BurgerSwap,Cayman Islands,Flash Loan,,,01-May-21,https://www.theblockcrypto.com/post/106457/missing-line-of-code-leads-to-7-2-million-exploit-of-dex-burgerswap,May,"Wrapped BNB (WBNB)
Ethereum (ETH)
Burger Swap Tokens (BURGER)
Other",2021,7200000,7200000
,,No,DragonEx,Singapore,,https://cointelegraph.com/news/most-significant-hacks-of-2019-new-record-of-twelve-in-one-year,,01-Mar-19,https://cryptonews.com/news/dragonex-hack-usd-7-million-in-crypto-stolen-compensations-i-3605.htm,March,"Bitcoin (BTC)
Ether (ETC)
XRP (XRP)
NEO (NEO)
Other",2019,7090000,7090000
"7,000,000",,No,Dao Maker,British Virgin Islands,,,,01-Aug-21,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit,August,USD Coin (USDC),2021,7000000,6982087
,Seoul,No,Bithumb,South Korea,,,,01-Jun-17,https://www.zdnet.com/article/bithumb-cryptocurrency-exchange-hacked-a-third-time-in-two-years/,June,"Bitcoin (BTC)
Ethereum (ETH)",2017,7000000,7000000
,San Francisco,No,Origin Protocol,United States,Flash Loan,,,01-Nov-20,https://www.coindesk.com/markets/2020/11/17/origin-protocol-loses-7m-in-latest-defi-attack/,November,Origin Dollar (OUSD),2020,7000000,7000000
"1,100,000,000",Central Region,No,VeChain,Singapore,,,,01-Dec-19,https://cointelegraph.com/news/vechain-loses-11b-vet-tokens-to-hacker-in-attack-on-buyback-wallet,December,VET Tokens (VET),2019,6600000,127336000
"10000000 (FSN)
3500000 (ERC-20 FSN)",,No,Fusion Network,Singapore,,,,01-Sep-19,https://cointelegraph.com/news/fusion-networks-token-swap-wallet-compromised-fsn-price-plummets,September,"Fusion Tokens (FSN)
ERC-20 FSN tokens",2019,6400000,10304644.5
,Seoul,No,Belt Finance,South Korea,Flash Loan,,,01-May-21,https://halborn.com/explained-the-belt-finance-hack-may-2021/,May,"Binance USD (BUSD)
Tether (USDT)",2021,6300000,6300000
,,No,Value DeFi,/,Flash Loan,,,01-Nov-20,https://www.coindesk.com/markets/2020/11/14/value-defi-suffers-6m-flash-loan-attack/,November,"Dai (DAI)
USD Coin (USDC)",2020,6000000,6000000
,Edmonton,Yes,MapleChange,Canada,Many believe it was an exit scam as opposed to a hack,,,01-Oct-18,https://blockonomi.com/maplechange-hacked-scam/,October,"Bitcoin (BTC)
Litecoin (LTC)",2018,5900000,5900000
3000 (ETH),New York,No,Roll,United States,,,,01-Mar-21,https://www.theblockcrypto.com/linked/98261/roll-social-token-platform-exploit,March,"WHALE
Other Social tokens",2021,5700000,129163500
807260 (ETC),,No,OKEx,Seychelles,,,,01-Aug-20,https://decrypt.co/38957/how-the-ethereum-classic-hacker-stole-5-6-million-from-okex,August,"Ethereum Classic (ETC)
Z Cash (ZEC)",2020,5600000,38086526.8
"3945664 USD (ETH) (10719 ETH*)
471559 USD (XTZ) (182,527.19 XTZ*)
114954 USD (BTC) (11.09 BTC*)
406620 USD (ALGO) (979,335.26 ALGO*)
339573 USD (XRP) (1,394,550.31 XRP*)
45148 USD (TRX) (1,364,812.58 TRX*)",,Yes,Eterbase,Slovakia,,10 Sep 2020,,01-Sep-20,https://www.tripwire.com/state-of-security/featured/cryptocurrency-exchange-eterbase-hacked-5-4-million-worth-of-funds-stolen/,September,"Ethereum (ETH)
Tezos (XTZ)
Bitcoin (BTC)
Algorand (ALGO)
Ripple (XRP)
Tron (TRX)",2020,5400000,50797161.7
"3,816",,Yes,Yapizon,South Korea,"Coinbin, Youbit and Yazipan were all the same company",,,01-Apr-17,https://news.bitcoin.com/hacked-korean-bitcoin-exchange-yapizon-offers-ious/,April,Bitcoin,2017,5300000,217565424
"18,866",London,No,Bitstamp,United Kingdom,,,,01-Jan-15,https://www.coindesk.com/markets/2015/07/01/details-of-5-million-bitstamp-hack-revealed/,January,Bitcoin (BTC),2015,5263614,1075626124
"40,000,000,000,000,000,000",,Yes,Cover Protocol,United States,,,,01-Dec-20,https://www.theblockcrypto.com/post/89368/defi-protocol-cover-exploited-attackers-minted-at-least-40-quintillion-tokens,December,Cover Tokens (COVER),2020,5000000,5000000
"9300000 (XRP)
2500000 (ADA)",Centro Bianco,No,Bitrue,Singapore,,,,01-Jun-19,https://cointelegraph.com/news/singaporean-exchange-bitrue-gets-hacked-losing-5-million-in-xrp-cardano,June,"XRP (XRP)
Cardano (ADA)",2019,4737000,12933054.4
"6,734,007",Madrid,No,Eleven Finance,Spain,Flash Loan?,https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76,,01-Jun-21,https://www.bsc.news/post/eleven-finance-faces-flashloan-attack-on-nrv-vaults-stealing-over-4-5-million,June,Nerve Finance (NRV),2021,4600000,783966.3
20000000 (WILD),Bangalore,No,ChainSwap,India,,,,01-Jul-21,https://decrypt.co/75698/chainswap-exploit-leads-to-multi-million-loss-for-defi-tokens,July,"Wilder World (WILD)
AntiMatter
OptionRoom 
UmbrellaBank
Nord 
Razor
Peri
Unido
Oro
Vortex
Blank
Unifarm",2021,4400000,4400000
,,No,Dao Maker,British Virgin Islands,,,,01-Sep-21,https://www.coinfirm.com/blog/dao-maker-hack/,September,"DeRace Token (DERC)
Capsule Coin (CAPS)
Showcase (SHO)
Coinspaid (CPD)",2021,4000000,4000000
,,No,Exmo,United Kingdom,,https://www.coindesk.com/markets/2020/12/25/uk-crypto-exchange-exmo-says-4m-of-hacked-funds-was-through-poloniex/,,01-Dec-20,https://cointelegraph.com/news/exmo-crypto-exchange-suffers-hack-halts-all-withdrawals,December,"Bitcoin (BTC)
Ethereum (ETH)
XRP (XRP)
Tether (USDT)
Zcash (ZEC)
Ethereum Classic (ETC)",2020,4000000,4000000
,,No,DODO,China,Flash Loan 1.89 million was returned,,,01-Mar-21,https://www.theblockcrypto.com/linked/97734/dodo-dex-exploit-bug-attack,March,"Tether (USDT)
Ethereum (ETH)",2021,3800000,3800000
30790 (ETH),Christchurch,Yes,Cryptopia,New Zealand,,,,01-Jan-19,https://www.ccn.com/newsflash-cryptopia-hacker-strikes-again-2-weeks-after-stealing-16-million-in-crypto/,January,Ethereum (ETH),2019,3500000,132564805.5
"3,894",Leicester,Yes,MintPal,United Kingdom,CEO ran off with all the customers money,,,01-Oct-14,https://www.ledger.com/remembering-the-mintpal-hack,October,Bitcoin (BTC),2014,3500000,227143776
,,Yes,Cheese Bank,/,Flash Loan,,,01-Nov-20,https://cointelegraph.com/news/cheese-bank-s-multi-million-dollar-hack-explained-by-security-firm,November,"USD coin (USDC)
Tether (USDT)
Dai (DAI)",2020,3300000,3300000
438,Delhi,No,CoinSecure,India,,,,01-Apr-18,https://securityaffairs.co/wordpress/71322/hacking/coinsecure-hacked.html,April,Bitcoin (BTC),2018,3300000,24972132
"4,500,000,000",,No,Zabu Finance,/,,,,01-Sep-21,https://www.coindesk.com/tech/2021/09/13/avalanche-based-zabu-finance-exploited-in-32m-hack/,September,ZABU tokens (ZABU),2021,3200000,480060
336,London,No,Cashaa,United Kingdom,,,,01-Jul-20,https://news.bitcoin.com/crypto-exchange-cashaa-loses-336-bitcoin-worth-3-million-to-hackers/,July,Bitcoin (BTC),2020,3100000,19156704
864.8,Tokyo,No,Sushi (sushiSwap),Japan,,,,01-Sep-21,https://www.pymnts.com/news/security-and-risk/2021/sushiswap-crypto-platform-victimized-by-3m-hack/,September,Ethereum (ETH),2021,3000000,3723353.2
"5,896",,No,PicoStocks,Marshall Islands,,https://coiniq.com/cryptocurrency-exchange-hacks/,,01-Nov-13,https://www.wired.com/2017/05/one-scrappy-startup-survived-early-bitcoin-wars/,November,Bitcoin (BTC),2013,3000000,336154544
2000 ETH,,No,PAID Network,Panama,,https://halborn.com/explained-the-paid-network-hack-march-2021/,,01-Mar-21,https://www.theblockcrypto.com/linked/97411/paid-network-token-minting-exploit-eth,March,PAID Network (PAID),2021,3000000,8610900
1281 ETH,Massachusetts,No,PancakeBunny,United States,Flash Loan,,,01-Jul-21,https://cryptoslate.com/bsc-defi-app-pancakebunny-releases-post-mortem-of-2-4-million-exploit/,July,"Polly Bunny
Ethereum (ETC)",2021,2400000,5515281.5
"8,550,000",Berlin,No,IOTA,Germany,,,,01-Feb-20,https://cointelegraph.com/news/iota-network-relaunched-following-trinity-wallet-theft,February,IOTA (MIOTA),2020,2000000,11713500
2000000 (DAI),,No,Akropolis,Gibraltar,Flash Loan,,,01-Nov-20,https://www.theblockcrypto.com/linked/84490/defi-project-akropolis-exploited-for-over-2-million,November,"YCurve (YCURVE)
sUSD (SUSD)",2020,2000000,2000000
"185000 (ETH)
250 (BTC)",,Yes,GateCoin,Hong Kong,,,,01-May-16,https://thenextweb.com/news/gatecoin-cryptocurrency-exchange-dead,May,"Ethereum (ETH)
Bitcoin (BTC)",2016,2000000,810761750
"8,000,000",Leicester,Yes,MintPal,United Kingdom,,,,01-Jul-14,https://www.coindesk.com/markets/2014/07/14/8-million-vericoin-hack-prompts-hard-fork-to-recover-funds/,July,Vericoin (VRC),2014,2000000,324942.7
,Massachusetts,No,PancakeHunny,United States,Flash loan,https://www.bsc.news/post/pancakehunny-suffers-flash-loan-attack-and-cataclysmic-price-drop,,01-Oct-21,https://medium.com/hunnyfinance/pancakehunny-incident-report-b5b74557b0ad,October,Hunny,2021,1900000,1900000
"7,170",,Yes,BTER,China,,,,01-Feb-15,https://www.coindesk.com/markets/2015/02/20/bter-unable-to-repay-customers-following-alleged-exchange-heist/,February,Bitcoin (BTC),2015,1750000,408790380
"51,670,000",,Yes,BTER,China,,,,01-Aug-14,https://www.coindesk.com/markets/2014/08/15/hackers-steal-165-million-in-nxt-from-bter-exchange/,August,NXT (NXT),2014,1650000,827974.5
"31.87 (RENBTC)
211 (ETH)",,No,BT Finance,/,Flash Loan,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,,01-Feb-21,https://twitter.com/ico_analytics/status/1358891111863967746?lang=en,February,"renBTC (RENBTC)
Ethereum (ETH)",2021,1500000,2718442.9
2578.98 (ETH),,Yes,Taylor,/,,,,01-May-18,https://www.zdnet.com/article/all-of-cryptocurrency-trading-app-taylors-funds-have-been-stolen/,May,"Ethereum (ETC)
TAY Tokens",2018,1500000,11103669.4
"2,300",,Yes,Bitcurex,Poland,,,,01-Oct-16,https://news.bitcoin.com/bitcurex-forced-million-theft/,October,Bitcoin (BTC),2016,1500000,131132200
,Madrid,No,2gether,Spain,,,,01-Jul-20,https://cointelegraph.com/news/hackers-steal-over-13m-from-european-crypto-trading-platform,July,,2020,1390000,1390000
"27,516",,No,Growth Defi,/,Flash Loan?,,,01-Feb-21,https://rekt.news/the-big-combo/,February,Growth DeFi (GRO),2021,1300000,2409025.8
4100,,Yes,inputs.io,Australia,Foul play has been suggested,,,01-Oct-13,https://www.coindesk.com/markets/2013/11/07/hackers-steal-12-million-of-bitcoins-from-inputsio-a-supposedly-secure-wallet-service/,October,Bitcoin (BTC),2013,1200000,233757400
"100,000,000",,No,AutoShark Finance,/,Flash Loan,,,01-May-21,https://coingape.com/autoshark-finance-is-the-latest-victim-to-the-third-flash-loan-attack-on-binance-smart-chain-in-a-week/,May,PolyShark Finance (SHARK),2021,822800,223728
,Bangalore,No,ChainSwap,India,,,,01-Jul-21,https://chain-swap.medium.com/chainswap-post-mortem-and-compensation-plan-90cad50898ab,July,"Corra Finance (CORRA)
Rai Reflex Index (RAI)
Others",2021,800000,800000
234,Berlin,No,Electrum Wallet,Germany,,,,01-Dec-18,https://coingeek.com/hackers-steal-234-btc-electrum-wallets/,December,Bitcoin (BTC),2018,750000,13341276
"40,000,000",,No,HitBTC,Chile,,,,01-Aug-21,https://www.cointribune.com/en/analysis/cybersecurity/sentinel-network-reports-hitbtc-hacked-for-1m/,August,DVPN Tokens (DVPN),2021,730000,839115.2
